time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/loss,train/explained_variance,train/entropy_loss,train/approx_kl,train/learning_rate,train/value_loss,train/clip_fraction,train/clip_range,train/policy_gradient_loss
403456,191,1845.32,1,75.71,10,,,,,,,,,,
405504,156,1852.59,2,83.52,26,1970,37.35801315307617,0.6621135175228119,-1.014978651329875,0.0015779537,0.0003,162.6413275614381,0.00087890625,0.2,-0.0011812896162155084
407552,147,1856.05,3,85.03,41,1980,4.45737361907959,0.759056955575943,-0.6860555069521069,0.0005949737,0.0003,90.13620252814144,0.0,0.2,-0.00014744352229172363
409600,143,1826.9,4,77.62,56,1990,6.09820556640625,0.9432725235819817,-0.4436083079315722,0.003343517,0.0003,15.266888179327362,0.019921875,0.2,-0.001611095666885376
411648,141,1820.6,5,85.54,72,2000,24.092517852783203,0.7297665178775787,-0.7617861844599247,0.0013055333,0.0003,153.86870590746403,0.00048828125,0.2,-0.0007087399193551391
413696,140,1820.6,6,85.54,87,2010,41.92877197265625,0.9081471562385559,-0.4748315090313554,0.006265293,0.0003,56.3178787432611,0.042822265625,0.2,-0.006000999123352812
415744,139,1840.38,7,86.03,102,2020,0.06221027672290802,0.8676871061325073,-0.4418786195106804,0.0033230458,0.0003,3.6988440748216815,0.0203125,0.2,0.00107551287219394
417792,138,1840.38,8,86.03,118,2030,0.2535868287086487,0.9353751465678215,-0.4994017546996474,0.0020727478,0.0003,21.29160823225975,0.005126953125,0.2,-0.00012084160698577762
419840,138,1840.38,9,86.03,133,2040,125.57613372802734,0.7867118269205093,-0.6157922793179751,0.005337817,0.0003,193.45964808664286,0.015966796875,0.2,-0.001286913065268891
421888,136,1871.97,10,88.62,150,2050,-0.037904441356658936,0.8182862550020218,-0.5263097351416945,0.006674501,0.0003,0.02681013952678768,0.095556640625,0.2,-0.0039386965203448195
423936,134,1871.97,11,88.62,167,2060,0.28785380721092224,0.9240413159132004,-0.5502490241080522,0.0017097264,0.0003,4.7690724562853575,0.00498046875,0.2,-0.000859956702333875
425984,132,1897.86,12,88.62,185,2070,-0.016309525817632675,0.12977933883666992,-0.510182623565197,0.0015696948,0.0003,0.2691883418983707,0.027734375,0.2,-0.0006511196203064174
428032,131,1863.18,13,87.21,202,2080,0.09674551337957382,0.8915809392929077,-0.7162317302078008,0.0022968878,0.0003,1.6060482024098746,0.008203125,0.2,0.0007693162566283718
430080,130,1867.59,14,89.22,220,2090,0.11408928036689758,0.8866405114531517,-0.49475391767919064,0.0011671438,0.0003,0.9237796128727496,0.00087890625,0.2,8.981557039078325e-05
432128,129,1862.26,15,89.22,237,2100,5.110193252563477,0.6460491716861725,-0.5738415829837322,0.00034221215,0.0003,58.49374696649611,0.000341796875,0.2,-0.000381309560907539
434176,128,1893.78,16,89.22,255,2110,-0.013911757618188858,0.8676997721195221,-0.4116231998428702,0.012584928,0.0003,0.2887081893233699,0.046923828125,0.2,-0.004137493492453359
436224,127,1907.22,17,89.22,272,2120,-0.0018247906118631363,0.7121865749359131,-0.46889234222471715,0.0030140628,0.0003,0.08595007361727766,0.04130859375,0.2,-0.0007529634531238116
438272,127,1902.84,18,89.22,290,2130,0.029444590210914612,0.8734482079744339,-0.4932682428508997,0.0025614332,0.0003,0.3281816381379031,0.008837890625,0.2,0.00016588936268817632
440320,127,1902.84,19,89.22,305,2140,0.035101208835840225,0.7184150815010071,-0.48009817833080887,0.006819048,0.0003,0.22045585884770844,0.05888671875,0.2,-0.00402084988891147
442368,127,1906.55,20,89.22,320,2150,0.042122576385736465,0.8519877940416336,-0.3751302578020841,0.017927624,0.0003,0.010770946389311576,0.097705078125,0.2,-0.007873199734603986
444416,127,1876.59,21,84.12,336,2160,0.0027105892077088356,0.9118728563189507,-0.5089952414855361,0.0044867266,0.0003,0.041813915890816136,0.061572265625,0.2,-0.00375376849406166
